Mass (u)	1-P
0	0.0
1	7018.941653394138
2	610.3489053948894
3	196.03708854782272
4	0.0
5	0.0
6	2.0000152589442846
7	28.000579853387304
8	0.0
9	0.0
10	5.000053406615444
11	20.000396739381266
12	928.8123121831245
13	1641.5566607548785
14	3789.4994871745375
15	11526.876582038583
16	215.04083508438342
17	89.00740901333069
18	900.7274287181489
19	2832.3865143038183
20	5.000083925590581
21	5.000083925590581
22	1.0000076294721423
23	58561.46395893299
24	2036.646477936594
25	702.2833056904885
26	9457.91145138329
27	393994.6639164491
28	33062.09747918558
29	127270.85942412108
30	4981.235877344565
31	8746.116939943373
32	319.0355970628356
33	142.0137043321487
34	48.00090029928893
35	37.0006637792884
36	103.00435671172298
37	2053.653051412942
38	7159.289745268737
39	107475.83687165855
40	16586.828371560026
41	187558.02844152742
42	28200.137936040577
43	124664.4537775281
44	15290.102752043957
45	21863.188112088046
46	1473.9872023217547
47	1523.1376844387655
48	415.02938389068066
49	735.2022918238258
50	9365.58140809946
51	26063.656381487795
52	12220.767412081466
53	43460.99407047327
54	11357.605001844737
55	86618.1286554737
56	11579.557906215561
57	46559.66645697481
58	5084.390897401041
59	4684.002302195541
60	1109.80933629959
61	18757.06842377722
62	5106.266721795899
63	14407.006447032152
64	3243.740554013568
65	18281.90435693589
66	6555.21204480205
67	18747.992882656763
68	4748.404244123228
69	19075.7317360586
70	5184.610641955749
71	9401.35598461497
72	1717.5880841188914
73	8721.163978727864
74	4583.238996803121
75	5908.8281065729825
76	2999.1331338633804
77	35559.88172247169
78	8375.721455103798
79	14059.369277184816
80	2899.3399430450577
81	8608.474855230244
82	2149.0011760616794
83	5703.130110306343
84	1383.0550593969579
85	3585.5697603020394
86	2785.1615773542926
87	11086.445072017408
88	2126.2896353688993
89	5421.502102737311
90	2019.4500656207683
91	16031.908683276071
92	2699.8703611324595
93	2874.3947367404458
94	1246.8544939645878
95	3525.950061663905
96	886.4123528426067
97	1885.112100389599
98	1777.2128771106009
99	2293.7644800146077
100	848.3963800175616
101	2373.8826974750014
102	3146.8283470044694
103	7932.515320429882
104	5932.041656767451
105	11265.284075850888
106	1559.0976131091807
107	2222.317130007179
108	864.3455168394173
109	1470.2965271890823
110	971.5839850986545
111	1510.5468773118741
112	758.3319569977966
113	2356.679908064196
114	1023.6290280020836
115	10259.562631507648
116	2982.1801163366545
117	3644.075987153931
118	2069.2899228227516
119	2547.8389477989235
120	1264.7285063918873
121	13249.310522569662
122	939.4859701113737
123	1302.9866220174356
124	425.07055017811234
125	855.4301555734125
126	1362.342436246044
127	3131.891305983064
128	5698.607455237932
129	3990.0320548663676
130	1666.2763417445203
131	2245.9672576988573
132	821.3068866449348
133	1919.1184352912778
134	894.4103599081782
135	1663.4905495702915
136	683.2399936006242
137	1331.032257060781
138	551.1712001067237
139	3265.191699648225
140	700.287871724014
141	2739.2651506275556
142	1129.7416438489852
143	1139.7846960725656
144	597.1832403820516
145	2039.338539394195
146	5209.69743900634
147	4235.943710255597
148	677.2030634451875
149	1209.9209125877142
150	1049.7327604557443
151	1730.968817686136
152	3380.8923981161906
153	2422.979002301323
154	1039.5594970376544
155	1657.4657815332994
156	603.1537183209712
157	842.3952263087077
158	475.11624327994383
159	978.5338002485363
160	513.1259062192725
161	1325.9707874349438
162	925.5230938306174
163	14629.630109800313
164	1605.5646745357476
165	3992.791292596672
166	1120.6812142712758
167	1103.6787968442554
168	616.1858418952922
169	661.2461517951581
170	410.0795349713711
171	1220.917387949966
172	746.2921110429452
173	923.4828340021012
174	524.1516908799551
175	1405.3736050893278
176	1293.1322652692872
177	1309.060280151932
178	1680.9387194424887
179	1401.0820727510013
180	573.1662753241469
181	3503.966448831836
182	560.1573159309296
183	1111.546547237702
184	349.0514246251448
185	513.1368371517297
186	425.09438339445694
187	1057.7467504582633
188	3332.234690444406
189	3930.6571090501075
190	1174.729096289413
191	1627.54565799437
192	591.1802890758034
193	831.4115474870897
194	369.0642315631531
195	627.2127631338461
196	370.06295663118976
197	594.1810728276046
198	375.07213992200553
199	1085.8529330219055
200	702.3402806518818
201	808.37224059714
202	1419.3937627172365
203	1048.6253931202857
204	581.1603450994353
205	10414.953748464586
206	1696.8421882313064
207	2055.7873715505425
208	401.06572630026284
209	594.1929250119761
210	297.0400388206422
211	473.1237413870684
212	353.0583402367276
213	1290.9364425164265
214	478.10386686084775
215	1163.7395766726404
216	450.1051969979528
217	664.23149028072
218	336.0493262133738
219	510.1296976327724
220	410.08139916968605
221	733.2916881681937
222	421.089436048832
223	4757.845788992623
224	683.2485702417763
225	927.4695928495751
226	855.4310134421615
227	710.2815803003479
228	463.1136939610331
229	513.1278105993009
230	236.02707323040912
231	1620.645033513814
232	756.3362070594246
233	717.2899101070361
234	271.0276143946604
235	671.2764625845142
236	330.0466704839331
237	750.3190878968124
238	373.0599576241632
239	928.4926122972379
240	396.0713983763419
241	1334.202507021617
242	277.0289116898047
243	402.084145802003
244	230.02209766537862
245	323.04945652139213
246	316.0375429853923
247	8356.458601204577
248	3572.5126894459927
249	2584.8955183159815
250	662.2064441673206
251	762.2953450296066
252	543.1370495108032
253	451.0967607057107
254	215.0196785644141
255	598.167221673808
256	460.1008324816509
257	439.09024289382637
258	262.0247985782205
259	391.0797263066983
260	209.01775560397166
261	530.1518805020445
262	387.0699411778638
263	842.3334921355657
264	422.07460242000485
265	6827.039623834872
266	570.1656851537884
267	771.3472781791772
268	252.0281568404868
269	323.0496554010292
270	177.01352836318725
271	270.0336664025394
272	201.01803053311892
273	619.2511005277463
274	772.3186383925389
275	642.2159549498048
276	381.07426247199857
277	647.2310889793653
278	251.02708069140874
279	436.08504312353597
280	237.02299018762412
281	442.09676877288564
282	213.01970923694856
283	1376.2743266672546
284	177.01375719049483
285	520.1572157926763
286	188.016450850588
287	314.0495710631443
288	178.01274232325866
289	455.0846226459148
290	3574.455516834516
291	2089.9049302935496
292	356.0635380013872
293	487.12060802495506
294	183.01418449203354
295	382.07107861317206
296	191.0142913060242
297	284.0404133369506
298	260.0302018703965
299	372.0737050487437
300	284.0356049392548
301	596.1860459487546
302	213.02120504077402
303	346.0577977202772
304	153.00983508468448
305	309.042541416997
306	399.0575751671161
307	9283.501350532868
308	709.2863074878622
309	1374.1394333050694
310	229.02448635234657
311	419.0862121356176
312	172.01191816187233
313	266.03065951105077
314	157.01020133737777
315	561.1810173034643
316	177.01332989456628
317	375.0707965981193
318	180.01291014211736
319	461.1097370355509
320	154.01092638765792
321	289.0403138141003
322	274.03258253319524
323	398.07657383061024
324	343.0426321879444
325	3033.2968016003024
326	349.0574246021723
327	709.2976633245933
328	182.0153521992134
329	231.0274168080587
330	107.00551643262213
331	199.01841203246306
332	143.0082480362056
333	579.1759491966174
334	288.0408404603239
335	396.0710151691996
336	131.00688979861079
337	426.09296758660764
338	163.01041496554672
339	284.0351618058378
340	153.00916364488003
341	241.02949233668238
342	126.00608863961756
343	760.3827203546282
344	113.00560800026508
345	283.0420083302256
346	121.00592841263092
347	276.03711591679956
348	594.1743081103627
349	13259.476230536764
350	721.251202468457
351	988.584476629245
352	235.02317341920366
353	264.03357482929016
354	132.00711107161968
355	159.0105676085416
356	99.00371569232445
357	480.15149651811043
358	155.01194133799007
359	196.01722913514
360	125.00630992457869
361	298.0434806469744
362	121.00531798982068
363	292.0389008403987
364	159.00882784348443
365	410.0956416757948
366	385.05461443470716
367	1818.1310520013585
368	330.05540220781546
369	507.13834642800015
370	143.0102168293732
371	221.02367730284212
372	106.00503574809177
373	239.0292635939905
374	134.0068363679353
375	178.01291011587756
376	182.01565732699933
377	206.02189960209557
378	143.0073628294541
379	337.0663229067776
380	111.00537905633217
381	258.0328577333592
382	136.00822516935793
383	238.02601980533566
384	190.0136273949512
385	727.3489794393704
386	140.00694317619931
387	282.04606019333494
388	114.00515775103716
389	183.01551241283292
390	141.0101862235897
391	985.5688371069919
392	2921.42138946319
393	990.6595695668142
394	177.01516127060566
395	211.02089952844386
396	93.0038377905777
397	197.01838135491406
398	120.00637860550559
399	161.01111700567193
400	178.0167106861872
401	187.01725215164453
402	97.00370043431158
403	373.07664152512757
404	91.00319685608748
405	242.03365213903948
406	131.0073018720644
407	256.03682658071
408	701.2510000295225
409	7362.111626382895
410	234.02202108010047
411	513.1876422846037
412	133.00666088247064
413	189.0172215261434
414	93.00376151199913
415	101.00635585368721
416	103.00502812731222
417	457.1509565200148
418	95.00366992402921
419	175.01456611997054
420	136.00799626565023
421	272.05125090754717
422	91.00386832895539
423	137.01085774786725
424	129.00688983384632
425	255.03649818399253
426	279.0328197833395
427	968.7495552693586
428	174.0125897247984
429	382.10779604317827
430	81.00266277673924
431	110.00711121846145
432	65.00212871601745
433	144.01185743895053
434	184.01700060922434
435	515.2025931981482
436	113.00574532097758
437	158.01483335654478
438	116.00518828879433
439	201.02434906432498
440	95.00408196488583
441	161.01502415175514
442	95.00366991797519
443	133.0108578490737
444	104.00450163164474
445	181.02222795656476
446	99.00414299336768
447	124.00907984643162
448	88.00367756824755
449	188.01983940239757
450	1741.349011659517
451	11219.110691740449
452	351.0578042262988
453	513.1897369791027
454	157.00972823017227
455	166.01674105882714
456	109.00486020659065
457	139.00978937197473
458	130.00776741735882
459	421.13353259015753
460	87.0033494795245
461	133.0094537158618
462	156.01095705868042
463	186.02399103377329
464	80.00314347275557
465	131.00916372140463
466	121.00753099952446
467	272.0478778398898
468	418.09504922665747
469	485.1884847164849
470	230.0244632401722
471	197.0259673784935
472	128.00727896595268
473	143.0105982068368
474	107.00484495509762
475	169.017511776021
476	76.00285353915444
477	110.00598189670342
478	113.00556218104867
479	134.00959868051052
480	138.0089577339203
481	220.03548405285406
482	108.00520356745203
483	154.014009200925
484	100.00457791503487
485	118.0075232138374
486	229.02811958858453
487	253.05408458469935
488	140.0093239966881
489	144.01280356158094
490	92.00436430533722
491	102.0062413667442
492	98.0049136636541
493	1118.7967888957414
494	1245.2883956390824
495	358.0942843152669
496	160.01271190208945
497	143.0120939011644
498	121.00646254009916
499	124.00836251149846
500	91.00382254653502
501	133.00829380388012
502	151.01197179142406
503	108.00636337698488
504	90.00355548970798
505	158.017855458501
506	116.00621077853904
507	161.01761889438407
508	100.00466946870051
509	222.02147167710768
510	923.544622549257
511	4183.243639024135
512	259.03153733716243
513	420.1512988805612
514	101.00452449910593
515	121.00855332297263
516	74.00254833714044
517	88.00482214367238
518	96.00442532916212
519	276.05787880314057
520	86.00320449766703
521	106.00563086787436
522	154.01316998806524
523	188.0301419043887
524	81.00333423237704
525	84.0050510726961
526	87.0039446435458
527	131.01192634564657
528	386.0971119972591
529	716.5023586714372
530	145.01126985827221
531	294.07709886990375
532	75.00272382586533
533	76.0027924909594
534	68.00274673632356
535	97.00608115745365
536	118.00792007788546
537	210.03556112408918
538	86.00366232793016
539	109.00765302791123
540	84.00393702649126
541	102.00691286337694
542	70.00270094474443
543	86.0054020580621
544	84.00383019680663
545	95.00556226766426
546	152.0125290214653
547	131.01481090884738
548	89.00415827838975
549	95.00690527160874
550	81.00350211398225
551	115.0090875268253
552	1994.0199679875107
553	7778.8729230532335
554	245.02892734720064
555	357.11177794678343
556	151.0105829598607
557	109.008935011601
558	68.00245678161201
559	95.00504336173111
560	127.0087518880229
561	240.05633668627445
562	85.00341053408364
563	75.00331898662681
564	143.01056782481396
565	112.00924784310325
566	80.00325030663124
567	116.00978200858546
568	104.00535620625607
569	197.0231742077321
570	362.0880739946983
571	290.0766107562838
572	187.0164432639913
573	149.01684057269702
574	128.00766051066736
575	91.0065848590953
576	104.00535619554562
577	80.00483745446094
578	76.0028382701206
579	75.00309007778192
580	73.0025407020802
581	90.00448635873043
582	136.00976662141076
583	156.0182369261601
584	90.00418116991055
585	92.00575305258666
586	80.00354024783833
587	94.00553937148625
588	184.0197936434178
589	141.0201682383354
590	118.00766063282116
591	96.0076149413538
592	80.00395229754304
593	83.0037309950419
594	122.00718744115862
595	988.6197469088761
596	755.5460833856275
597	230.0394533508146
598	140.0095986152877
599	107.00722569129226
600	91.00408197295748
601	76.00471539223459
602	89.00417355068316
603	81.00493662921663
604	97.00501285548428
605	61.00223552210791
606	84.00393702416315
607	102.007340187697
608	101.00582172016503
609	134.01468108400684
610	94.00462374402305
611	167.01435242316956
612	859.4383351802658
613	2744.718558315276
614	215.02103685369548
615	298.0761814986506
616	94.00488315554442
617	72.00326558901456
618	49.001670917109664
619	59.00234234837762
620	70.00329613577465
621	182.02814297147606
622	64.00233471005771
623	62.00244153399905
624	153.01714609170375
625	113.01668888300897
626	103.00609639902089
627	77.00414308246602
628	79.00351737866976
629	100.00662293318982
630	354.0806059985743
631	414.20848349219375
632	166.0160238962753
633	182.03907267809797
634	56.002121092443694
635	47.00191509017666
636	74.0028840682194
637	69.0030595718456
638	88.00427274903303
639	122.01187285298543
640	85.00414306492573
641	68.0031892798571
642	100.0058903869733
643	64.00288409864318
644	75.00327320979395
645	69.00304430560578
646	58.00224316430842
647	71.00426519376504
648	95.00542493763076
649	79.00470775607359
650	76.00354026662043
651	60.00277730683306
652	89.00435667710687
653	104.00619554722495
654	2720.1943142957007
655	4851.856002525012
656	255.03164379290692
657	262.06371070942737
658	111.0062794436337
659	82.00378441469623
660	67.00266278729416
661	47.00150305677028
662	115.00757665475767
663	152.02077095200374
664	67.00243389847317
665	68.00268569278522
666	127.01003374082524
667	87.00516552409863
668	72.00314349215856
669	70.00289933414882
670	120.00799628674648
671	150.01510824754712
672	259.04095603071363
673	144.01561201579287
674	149.01218539520204
675	116.00885097840336
676	99.00531804725364
677	51.00180825428286
678	96.00526468316977
679	66.00289933896045
680	84.00384546956585
681	61.00283070289328
682	80.00375388764938
683	60.00292992593174
684	114.00888158062362
685	81.00560820597394
686	68.0024873108319
687	55.00232709905722
688	64.00231946011648
689	67.00293749765267
690	125.00928590909618
691	77.00431098317354
692	106.00659234388361
693	59.00284598760474
694	72.00262463651852
695	69.00312062702578
696	85.00412776655452
697	800.342846955394
698	399.1774742618216
699	114.01088103205811
700	92.0052646968298
701	50.00239579907667
702	66.00250257365678
703	61.002449172163736
704	83.00424987862233
705	67.00281540778187
706	80.00372337379666
707	44.00131231329209
708	85.0044177343053
709	61.00316644188847
710	107.00644739012225
711	85.00605074047482
712	84.00421172055181
713	120.00738585231035
714	1207.8705216598057
715	1257.9946468714988
716	208.02188417531184
717	153.03314382052824
718	85.0044177529318
719	63.00290699978783
720	48.00154120894294
721	28.0007477145028
722	94.00463898511698
723	92.0106828286418
724	56.00181588080574
725	52.001678542080306
726	129.0098352812065
727	73.00531822825201
728	61.00266281663149
729	46.00167856769227
730	68.00277726321525
731	57.0024644613767
732	334.0688517817304
733	170.0626367550241
734	147.01217017723755
735	91.01180490764555
736	58.00184639062266
737	38.00128179943935
738	46.001602262570835
739	61.00234234015096
740	92.00402855609725
741	52.00267049794845
742	77.00341053672236
743	42.00166331837187
744	73.00298325353019
745	38.00129706614483
746	63.0022965620761
747	38.001342841580666
748	44.00126653645926
749	37.00112157136614
750	72.00347923441345
751	30.000930829905865
752	55.00176247077537
753	48.00146490614987
754	71.00357845558138
755	88.00499000245892
756	4086.4383836511765
757	1360.0677463851268
758	275.0404663589363
759	122.02512376578461
760	67.00254071511905
761	42.00134283490604
762	70.00280777256637
763	38.001220758229366
764	120.00865259073007
765	72.00689791573001
766	36.00091556087202
767	32.00074770549981
768	98.00643982057345
769	45.001518319595164
770	56.00242628592044
771	40.001190239409524
772	108.00650079131896
773	57.003303896915284
774	169.01728287463715
775	71.00421944208573
776	90.00518838503314
777	51.00202192204226
778	62.002456790459746
779	28.000762966306784
780	60.0018769102187
781	37.00087741211436
782	47.00147253406977
783	18.000305182766294
784	39.0010910497522
785	32.00091556987501
786	66.00309773022724
787	32.00125130141945
788	72.00326557551013
789	28.00086979319738
790	46.00125126758062
791	23.0005722254674
792	103.00724098655908
793	23.00060274723657
794	58.00209055965369
795	30.00090030394565
796	52.0019532277582
797	43.00124364074728
798	67.00254070906526
799	564.1693266406168
800	165.02838248478153
801	66.00349455094583
802	52.00181588142664
803	29.00077060183266
804	49.001640393943504
805	28.000564591338538
806	35.00084689298393
807	40.00088503755061
808	43.00185404679346
809	23.00041962733201
810	43.001503066704615
811	23.000755345837657
812	74.00428810686955
813	26.001007160328804
814	22.0005188159027
815	64.00248731843789
816	1006.820066892507
817	440.7504832115712
818	128.0125292044964
819	75.0149650507501
820	22.000381479350402
821	15.000205998541874
822	10.000137331740353
823	14.000213627393121
824	47.00237294512725
825	43.00423490318402
826	9.000083924504013
827	16.000228886337403
828	30.00071718683512
829	24.001113958192736
830	6.000061036087587
831	9.000099183758746
832	10.000106813230888
833	17.000434890777793
834	71.00475359377809
835	125.02606061109752
836	27.00055696466043
837	54.00431868855498
838	10.000137331740353
839	4.000045777143302
840	3.0000381476711597
841	10.00012207248562
842	7.0000839248144615
843	20.00045778012556
844	3.000022888416427
845	4.000030517888569
846	1.0000076294721423
847	1.0000076294721423
848	0.0
849	1.0000076294721423
850	0.0
851	1.0000076294721423
852	0.0
853	0.0
854	0.0
855	0.0
856	0.0
857	0.0
858	0.0
859	0.0
860	0.0
861	0.0
862	0.0
863	0.0
864	0.0
865	0.0
866	0.0
867	0.0
868	0.0
869	0.0
870	0.0
871	0.0
872	0.0
873	0.0
874	0.0
875	0.0
876	0.0
877	0.0
878	0.0
879	0.0
880	0.0
881	0.0
882	0.0
883	0.0
884	0.0
885	0.0
886	0.0
887	0.0
888	0.0
889	0.0
890	0.0
891	0.0
892	0.0
893	0.0
894	0.0
895	0.0
896	0.0
897	0.0
898	0.0
899	0.0
900	0.0
901	0.0
902	0.0
903	0.0
904	0.0
905	0.0
906	0.0
907	0.0
908	0.0
909	0.0
910	0.0
911	0.0
912	0.0
913	0.0
914	0.0
915	0.0
916	0.0
917	0.0
918	0.0
919	0.0
920	0.0
921	0.0
922	0.0
923	0.0
924	0.0
925	0.0
926	0.0
927	0.0
928	0.0
